summary_level,slide,cell_state,if_marker,n_cells,mean_value,median_value,q25,q75,pct_above_slide_q80,other_mean_value,delta_log1p_vs_rest
overall,all,CAF/matrix-like,Mean.PanCK,74111,972.432918190282,238,72,808,0,6286.94205218068,-1.82133504685629
overall,all,CAF/matrix-like,Mean.CD45,74111,90.7153189135216,82,51,125,0,191.580788596759,-0.544182978220746
overall,all,CAF/matrix-like,Mean.CD3,74111,178.278420207527,143,78,239,0.028754166048225,402.478834764597,-0.446266658518907
overall,all,CAF/matrix-like,Mean.DAPI,74111,3505.29280403719,1746,924,4249.5,0.0903509600464169,4930.59646054542,-0.279257373463556
overall,all,CAF/matrix-like,Mean.MembraneStain,74111,1455.87745408914,887,341,1898,0.035203950830511,3256.87387024616,-0.80300144863356
overall,all,TGF/EMT stromal-interface,Mean.PanCK,73851,7556.98360211778,2403,354,8813,0.311559762223937,5455.2432824697,0.496353680483701
overall,all,TGF/EMT stromal-interface,Mean.CD45,73851,129.207404097439,114,71,173,0,186.687878513965,-0.174213081554152
overall,all,TGF/EMT stromal-interface,Mean.CD3,73851,230.772365980149,209,120,304,0.111941612165035,395.767661711058,-0.0795235500797649
overall,all,TGF/EMT stromal-interface,Mean.DAPI,73851,4143.41564772312,1921,1094,5458.5,0.118183910847517,4849.59112220064,-0.096777973251446
overall,all,TGF/EMT stromal-interface,Mean.MembraneStain,73851,2750.88709699259,1614,693,3660,0.152347293875506,3092.96525047797,-0.0519367657587608
overall,all,tumor epithelial-like,Mean.PanCK,177698,12443.0354984299,7454,3102,16426,0.584896847460298,3203.39024273978,2.55663898671369
overall,all,tumor epithelial-like,Mean.CD45,177698,135.712416571937,120,80,182,0,196.663685615513,-0.114437334144271
overall,all,tumor epithelial-like,Mean.CD3,177698,264.528261432318,235,145,330,0.190064041238506,418.847653432596,0.0914648820554298
overall,all,tumor epithelial-like,Mean.DAPI,177698,4710.13769991784,2091,1056,6689,0.153963466105415,4792.86236662991,-0.0359509589792104
overall,all,tumor epithelial-like,Mean.MembraneStain,177698,4043.48872806672,2573,1070,6064,0.311669236569911,2690.5359156214,0.550328625741734
overall,all,immune-like,Mean.PanCK,219167,4485.81144059096,1038,261,3735,0.109952684482609,6288.94831108582,-0.229959085596247
overall,all,immune-like,Mean.CD45,219167,319.071511678309,239,168,348,0.544872175099354,111.274319026445,1.00451288751251
overall,all,immune-like,Mean.CD3,219167,664.500075285057,295,185,448,0.355409345385026,234.591613135823,0.703581537894972
overall,all,immune-like,Mean.DAPI,219167,6119.92934155233,2849,1522.5,8923,0.319619285750136,4100.04295467583,0.472112651987559
overall,all,immune-like,Mean.MembraneStain,219167,3740.88133249987,2371,1086,5326,0.254655125999808,2713.70013808804,0.62020447598651
overall,all,other/background,Mean.PanCK,190952,2570.88981000461,492,100,2144,0.0211885709497675,6959.78615542646,-1.34234186098664
overall,all,other/background,Mean.CD45,190952,96.5416858687,83,51,130,0.0703161003812476,214.325463837115,-0.712146755044945
overall,all,other/background,Mean.CD3,190952,228.048184884159,137,69,252,0.0992867317441032,438.051751989396,-0.633753822186894
overall,all,other/background,Mean.DAPI,190952,3740.60284783611,1720,895,4038,0.147921990866815,5189.74209889225,-0.348226171677433
overall,all,other/background,Mean.MembraneStain,190952,1953.79815869957,953,384,2275,0.0968201432820814,3502.70065297354,-0.812695354231856
