summary_level,slide,cell_state,if_marker,n_cells,mean_value,median_value,q25,q75,pct_above_slide_q80,other_mean_value,delta_log1p_vs_rest
slide,slide1,immune-like,Mean.CD45,46111,562.835961050509,380,269,572,0.54112901476871,149.116637199887,1.30349372764004
slide,slide1,immune-like,Mean.CD3,46111,816.96725293314,295,217,380,0.350198434213095,204.227803828119,0.750228668529085
slide,slide1,immune-like,Mean.DAPI,46111,2090.95096614691,1949,1337,2695,0.307627247294572,1577.06289235657,0.324831500979104
slide,slide1,immune-like,Mean.MembraneStain,46111,5139.63234369239,4370,2654,6679,0.274229576456811,3544.27299049376,0.818600551314405
slide,slide1,other/background,Mean.PanCK,33189,1219.04206212902,311,93,2010,0,3658.19052277524,-1.42894031299733
slide,slide1,other/background,Mean.CD45,33189,105.376208984905,110,60,153,0,374.766399929652,-1.27764331923412
slide,slide1,other/background,Mean.CD3,33189,156.227063183585,138,60,223,0.0668595016421103,532.304717727752,-1.05625502937268
slide,slide1,other/background,Mean.DAPI,33189,1526.8773690078,1412,926,1998,0.12410738497695,1855.83422001407,-0.214671201452262
slide,slide1,other/background,Mean.MembraneStain,33189,2516.92114857332,1722,662,3499,0.081864473168821,4727.66636255716,-1.25305126771667
slide,slide2,CAF/matrix-like,Mean.PanCK,10044,1707.79579848666,897.5,548,1456,0,9352.63562914153,-1.70258100926241
slide,slide2,CAF/matrix-like,Mean.CD45,10044,91.7039028275587,97,61,125,0,192.32057712953,-0.605493489777795
slide,slide2,CAF/matrix-like,Mean.CD3,10044,181.032855436081,170,81,265,0.0484866587017125,280.236534261282,-0.411646862557275
slide,slide2,CAF/matrix-like,Mean.DAPI,10044,10763.6759259259,10100.5,7333,13449.25,0.0659099960175229,13801.3962906749,-0.187688521423324
slide,slide2,CAF/matrix-like,Mean.MembraneStain,10044,3287.55227001195,2463.5,1527.75,4049.75,0.0404221425726802,6665.86022470662,-0.746071734008766
slide,slide2,TGF/EMT stromal-interface,Mean.PanCK,12666,10440.0352913311,10666,1060,16718.75,0.322516974577609,8493.69817888647,0.0988335252756496
slide,slide2,TGF/EMT stromal-interface,Mean.CD45,12666,116.112742775936,116,79,148,0,191.890477093806,-0.353012258063349
slide,slide2,TGF/EMT stromal-interface,Mean.CD3,12666,217.341702194852,212,122,302,0.104216011369019,278.341667457081,-0.101180409790271
slide,slide2,TGF/EMT stromal-interface,Mean.DAPI,12666,11310.3547291963,10785,7700.5,14396.25,0.0839254697615664,13811.2670018021,-0.166021767431635
slide,slide2,TGF/EMT stromal-interface,Mean.MembraneStain,12666,5369.76425075004,4369,2282,7822.25,0.140138954681825,6499.72749691739,-0.218921368936208
slide,slide2,tumor epithelial-like,Mean.PanCK,37450,16275.8014686248,15671,11893,19596,0.5569826435247,5185.56805049228,1.74445536604063
slide,slide2,tumor epithelial-like,Mean.CD45,37450,126.609345794393,127,84,170,0,210.304007638321,-0.342979195563814
slide,slide2,tumor epithelial-like,Mean.CD3,37450,233.495834445928,226,131,317,0.145767690253672,289.586501500384,-0.0285517319050301
slide,slide2,tumor epithelial-like,Mean.DAPI,37450,11918.9867556742,11559,7651,15783,0.125287049399199,14297.2097686184,-0.237499003542228
slide,slide2,tumor epithelial-like,Mean.MembraneStain,37450,7233.43052069426,7039,4549,9465.75,0.231882510013351,5981.54565632517,0.311077956401922
slide,slide2,immune-like,Mean.PanCK,45778,5777.93300275241,2547,1233,9992,0.0604438813403819,10553.691598219,-0.581771733364683
slide,slide2,immune-like,Mean.CD45,45778,302.111581982612,245,190,325.75,0.519550875966622,108.847493016953,1.04892288520918
slide,slide2,immune-like,Mean.CD3,45778,333.077919524663,268,167,366,0.278103018917384,233.009361431456,0.420308222419624
slide,slide2,immune-like,Mean.DAPI,45778,15701.9836821181,14932.5,10444,20130,0.299882039407576,12176.4073121491,0.308882257201638
slide,slide2,immune-like,Mean.MembraneStain,45778,7014.43527458605,6720.5,3582,9695,0.250884704443182,5976.00716280871,0.207934394996405
slide,slide2,other/background,Mean.PanCK,24824,5500.32238962295,3330.5,959,10280,0,9554.67967878892,-0.645606024352105
slide,slide2,other/background,Mean.CD45,24824,88.9880357718337,94,58,123,0,208.987241615919,-0.768575030984885
slide,slide2,other/background,Mean.CD3,24824,253.305591363197,188,74,327,0.208709313567515,276.721352603139,-0.37077205648173
slide,slide2,other/background,Mean.DAPI,24824,13136.3603367709,12502,8231,17216.5,0.182927811795037,13651.27609572,-0.0438765651114696
slide,slide2,other/background,Mean.MembraneStain,24824,5166.80381888495,4507.5,2090,7670,0.122744118594908,6701.03531606484,-0.353377640923624
slide,slide3,CAF/matrix-like,Mean.PanCK,9666,155.77374301676,79,15,203,0,831.917174495943,-1.51346440068297
slide,slide3,CAF/matrix-like,Mean.CD45,9666,49.9213738878543,48,37,60,0,96.009645854372,-0.489816860977795
