n_fov,median_log2_oe,mean_log2_oe,support_fraction_gt0,support_fraction_gt025,median_within_fov_null_p,median_within_slide_null_p,median_abundance_random_target_p,n_source_median,n_target_median,slide,threshold,n_caf_cells,n_tgfb_cells
14,1.06367260779381,0.811239501602317,0.785714285714286,0.785714285714286,0.0476190476190476,0.0476190476190476,0.0476190476190476,280,20.5,slide4,z15,4475,392
6,1.49994222663959,1.50738698153642,1,1,0.0714285714285714,0.595238095238095,0.0476190476190476,205,11.5,slide4,z2,2354,107
19,1.41413328116211,1.2737698246683,0.947368421052632,0.894736842105263,0.0476190476190476,0.0476190476190476,0.0476190476190476,78,68,slide6,top5,4203,1849
19,1.08677064436,1.14427219009307,1,1,0.0476190476190476,0.0476190476190476,0.0476190476190476,236,173,slide6,top10,8242,4517
20,0.864200716204856,0.822019958392209,0.95,0.9,0.0476190476190476,0.0476190476190476,0.0476190476190476,350.5,262.5,slide6,top15,12135,7531
19,1.09430925448903,1.09182274935849,1,1,0.0476190476190476,0.0476190476190476,0.0476190476190476,361,69,slide6,z1,10920,1737
14,1.1479191635828,1.04123900717531,0.928571428571429,0.857142857142857,0.0714285714285714,0.0476190476190476,0.0476190476190476,230,11.5,slide6,z15,4930,304
3,1.39433295004534,1.33083321552112,1,1,0.0476190476190476,1,0.0476190476190476,324,10,slide6,z2,1653,46
16,1.30301977964868,1.17074449970038,0.9375,0.8125,0.0476190476190476,0.0476190476190476,0.0476190476190476,85.5,57,slide5,top5,2046,1071
16,0.987415796716112,0.949139353871418,0.9375,0.9375,0.0476190476190476,0.0476190476190476,0.0476190476190476,241,151.5,slide5,top10,4253,2580
16,0.847416372983155,0.816471269376524,0.9375,0.9375,0.0476190476190476,0.0476190476190476,0.0476190476190476,383,261,slide5,top15,6501,4332
16,1.07616857115957,1.17316727517781,1,1,0.0476190476190476,0.0476190476190476,0.0476190476190476,268.5,40,slide5,z1,4660,818
9,1.64990434638141,1.564599699928,1,1,0.0476190476190476,0.0476190476190476,0.0476190476190476,120,11,slide5,z15,2384,157
1,0.694285283570166,0.694285283570166,1,1,0.0952380952380952,1,0.19047619047619,296,18,slide5,z2,1056,33
25,1.22028916027334,1.1841843194023,1,0.92,0.0476190476190476,0.0476190476190476,0.0476190476190476,122,79,slide5b2,top5,3327,1913
25,0.745981133479403,0.812898986374756,1,0.84,0.0476190476190476,0.0476190476190476,0.0476190476190476,269,158,slide5b2,top10,6493,4137
25,0.632279065488904,0.667217692433422,1,0.88,0.0476190476190476,0.0476190476190476,0.0476190476190476,400,255,slide5b2,top15,9517,6585
24,1.02708666067375,1.07533507208617,1,0.958333333333333,0.0476190476190476,0.0476190476190476,0.0476190476190476,204,39,slide5b2,z1,5230,987
16,1.33659248760424,1.35450936039301,0.9375,0.9375,0.0476190476190476,0.19047619047619,0.0952380952380952,98.5,9,slide5b2,z15,2641,176
1,1.14255325085556,1.14255325085556,1,1,0.0476190476190476,1,0.0952380952380952,71,6,slide5b2,z2,1222,28
14,1.06026961807293,0.939760331605976,0.928571428571429,0.928571428571429,0.0476190476190476,0.0476190476190476,0.0476190476190476,121,68,slide5b3,top5,1803,1122
15,0.847114632355959,0.913089229933679,1,1,0.0476190476190476,0.0476190476190476,0.0476190476190476,232,163,slide5b3,top10,3479,2476
15,0.552601896949895,0.656439284539392,1,1,0.0476190476190476,0.0476190476190476,0.0476190476190476,339,240,slide5b3,top15,5054,3879
15,1.01866749850903,0.880069640318505,0.866666666666667,0.866666666666667,0.0476190476190476,0.0476190476190476,0.0476190476190476,157,41,slide5b3,z1,2494,708
8,1.40390201914941,1.44332734183376,1,1,0.0952380952380952,0.0476190476190476,0.0714285714285714,156,16,slide5b3,z15,1438,151
3,1.86532363536709,1.96649570268419,1,1,0.0476190476190476,1,0.0476190476190476,124,7,slide5b3,z2,795,34
