comparison,module,n,class_a,class_b,mean_a,mean_b,median_a,median_b,delta_a_minus_b,wilcox_p,fdr
immune_vs_epithelial,t_cell,385,immune,tumor_epithelial,0.70954934952112,-0.540633568355445,0.594380725401331,-0.503793710233967,1.25018291787657,0,0
immune_vs_epithelial,b_plasma,385,immune,tumor_epithelial,0.164616593790695,-0.143329048951789,-0.0633213090462553,-0.17883563253623,0.307945642742484,6.25108758569581e-05,6.8761963442654e-05
immune_vs_epithelial,tumor_epithelial,385,immune,tumor_epithelial,-0.454206661459067,0.859485756244029,-0.564958528754362,0.643118831157886,-1.3136924177031,9.52196771814936e-54,1.49630921285204e-53
immune_vs_epithelial,tumor_aggressive,385,immune,tumor_epithelial,-0.334821544161103,0.638995780053916,-0.448853172940541,0.514939928443615,-0.973817324215019,4.4498326174834e-50,6.11851984903967e-50
TME_vs_epithelial,caf_mycaf,570,tme_like,tumor_epithelial,0.335517640558067,-0.660550354848695,0.0313954179989499,-0.729987937175812,0.996067995406763,0,0
TME_vs_epithelial,pancaf_matrix,570,tme_like,tumor_epithelial,0.342833072007848,-0.674952610515451,0.0867690095003451,-0.722578422437622,1.0177856825233,0,0
TME_vs_epithelial,myeloid_macrophage,570,tme_like,tumor_epithelial,0.247922363630565,-0.488097153397675,-0.0308495951961468,-0.490722798008663,0.73601951702824,0,0
TME_vs_epithelial,spp1_tam,570,tme_like,tumor_epithelial,-0.0689985591631569,0.135840913352465,-0.290456615589377,0.0437236788475633,-0.204839472515622,1.10717341839236e-11,1.2178907602316e-11
TME_vs_epithelial,tgfb_emt,570,tme_like,tumor_epithelial,0.139680501761818,-0.27499598784358,0.0892360329055138,-0.349961464611469,0.414676489605399,0,0
TME_vs_epithelial,ifn_apc,570,tme_like,tumor_epithelial,0.0972465783893164,-0.191454201203967,-0.0600506226275888,-0.349475904746989,0.288700779593283,2.29705143794945e-12,2.80750731304933e-12
TME_vs_epithelial,immune_core,570,tme_like,tumor_epithelial,0.14849460273181,-0.292348749128251,0.0114444361398804,-0.315938783088017,0.440843351860061,0,0
TME_vs_epithelial,t_cell,570,tme_like,tumor_epithelial,0.274607526783718,-0.540633568355445,0.0879735053032349,-0.503793710233967,0.815241095139163,0,0
TME_vs_epithelial,b_plasma,570,tme_like,tumor_epithelial,0.0728020566104325,-0.143329048951789,-0.0761240502531049,-0.17883563253623,0.216131105562221,1.50973759687201e-05,1.50973759687201e-05
TME_vs_epithelial,tumor_epithelial,570,tme_like,tumor_epithelial,-0.436564193647761,0.859485756244029,-0.555807590147965,0.643118831157886,-1.29604994989179,2.02123513545625e-69,3.17622664143125e-69
TME_vs_epithelial,tumor_aggressive,570,tme_like,tumor_epithelial,-0.324569285106751,0.638995780053916,-0.434333549744142,0.514939928443615,-0.963565065160667,1.3659882979627e-65,1.87823390969871e-65
CAF_vs_nonCAF,caf_mycaf,570,stromal_fibroblast,non_fibroblast,1.00011405714143,-0.480574287197831,0.889986782119443,-0.574729816359911,1.48068834433926,3.16775954246645e-70,1.74226774835654e-69
CAF_vs_nonCAF,pancaf_matrix,570,stromal_fibroblast,non_fibroblast,0.858714451385421,-0.412629022094293,0.763412744398385,-0.489899215662258,1.27134347347971,5.55186503513162e-62,2.03568384621493e-61
CAF_vs_nonCAF,myeloid_macrophage,570,stromal_fibroblast,non_fibroblast,-0.308259750048692,0.148124814958462,-0.346197198611315,-0.228536260517651,-0.456384565007155,4.41087524523098e-05,6.0649534621926e-05
CAF_vs_nonCAF,spp1_tam,570,stromal_fibroblast,non_fibroblast,-0.339051818010525,0.162921003459603,-0.419711275816699,-0.000200828740934675,-0.501972821470129,0,0
CAF_vs_nonCAF,tgfb_emt,570,stromal_fibroblast,non_fibroblast,0.333127283293948,-0.160074149115274,0.344537791917536,-0.166320705486124,0.493201432409221,8.12066986037588e-35,2.23318421160337e-34
CAF_vs_nonCAF,ifn_apc,570,stromal_fibroblast,non_fibroblast,-0.208108281406263,0.100000083273139,-0.327317118144649,-0.0837713280480832,-0.308108364679402,1.0781454788944e-06,1.6942286096912e-06
CAF_vs_nonCAF,immune_core,570,stromal_fibroblast,non_fibroblast,-0.115155221623227,0.0553343272734985,-0.120924344216525,-0.131455017445438,-0.170489548896725,0.198627152784788,0.198627152784788
CAF_vs_nonCAF,t_cell,570,stromal_fibroblast,non_fibroblast,-0.179142590990977,0.086081504761898,-0.128821626697077,-0.180775109590257,-0.265224095752875,0.181729905493685,0.198627152784788
CAF_vs_nonCAF,b_plasma,570,stromal_fibroblast,non_fibroblast,-0.0229828389343822,0.0110437018256123,-0.0916087489768071,-0.123591309138509,-0.0340265407599944,0.15032547549048,0.183731136710587
CAF_vs_nonCAF,tumor_epithelial,570,stromal_fibroblast,non_fibroblast,-0.41815880830948,0.200933453343516,-0.54524885481255,-0.106072956078066,-0.619092261652996,3.70814490224802e-14,8.15791878494565e-14
CAF_vs_nonCAF,tumor_aggressive,570,stromal_fibroblast,non_fibroblast,-0.313873685120319,0.150822420122751,-0.420061482571593,-0.0883511108228563,-0.46469610524307,9.41469124882133e-14,1.72602672895058e-13
