Patient,module,immune,stromal_fibroblast,tumor_epithelial,stromal_minus_tumor,immune_minus_tumor,fibroblast_minus_nonfibroblast,nonfibroblast,tme_like,tme_minus_tumor
MGH2603,t_cell,-0.0507128938569642,-0.619803091398756,-0.842309397175592,0.222506305776836,0.791596503318628,0.137701415623682,-0.757504507022438,-0.513445313727365,0.328864083448227
MGH2603,b_plasma,2.83690318028855,0.0599641153954151,-0.234537306434777,0.294501421830193,3.07144048672333,-0.183686779930325,0.24365089532574,0.693575691214912,0.928112997649689
MGH2603,tumor_epithelial,-0.549951749525041,-0.476907134955064,1.31072798104841,-1.78763511600347,-1.86067973057345,-0.450719490260095,-0.0261876446949691,-0.498035461081953,-1.80876344213036
MGH2603,tumor_aggressive,-0.364325735226333,-0.316479804529773,1.66340333854384,-1.97988314307361,-2.02772907377017,-0.768095882985392,0.451616078455619,-0.352008846646777,-2.01541218519061
MGH2626,caf_mycaf,-0.107105826667641,1.83215627171176,-0.621412781475725,2.45356905318748,0.514306954808084,2.25052329820206,-0.418367026490302,0.715774982352605,1.33718776382833
MGH2626,pancaf_matrix,-0.186802561808431,1.80820143519978,-0.755727046854999,2.56392848205478,0.568924485046568,2.07428122861699,-0.266079793417212,0.789121443943192,1.54484849079819
MGH2626,myeloid_macrophage,0.622182495197363,-0.13439941060492,-0.52467241000928,0.390272999404359,1.14685490520664,0.0377464004571474,-0.172145811062068,0.0821518648599295,0.606824274869209
MGH2626,spp1_tam,0.174917995148104,-0.156422615081801,0.336384961250063,-0.492807576331864,-0.161466966101958,-0.460733002207487,0.304310387125685,-0.0411610719600749,-0.377546033210138
MGH2626,tgfb_emt,-0.0860412492056404,0.79789775801633,-0.557753760575863,1.35565151859219,0.471712511370223,1.03679080940297,-0.238893051386643,0.633952448156374,1.19170620873224
MGH2626,ifn_apc,0.56845414616964,-0.165342330559827,-0.14089068062456,-0.0244516499352665,0.7093448267942,-0.126877557828668,-0.0384647727311585,-0.0718699342826848,0.0690207463418756
MGH2626,immune_core,-0.167727238677764,-0.385944213788008,-0.652789226268755,0.266845012480747,0.485061987590992,0.12496191062385,-0.510906124411857,-0.317163682346618,0.335625543922137
MGH2626,t_cell,0.130790540654948,-0.42351800008135,-0.955732118789674,0.532214118708324,1.08652265944462,0.245860805208432,-0.669378805289781,-0.226245720361529,0.729486398428145
MGH2626,b_plasma,0.0249204459456954,0.101407905433153,-0.490885083965587,0.592292989398739,0.515805529911282,0.428011508811708,-0.326603603378555,0.025364420785749,0.516249504751336
MGH2626,tumor_epithelial,-0.349691827894439,-0.312280272923692,1.36252655418241,-1.6748068271061,-1.71221838207685,-0.850421448091052,0.53814117516736,-0.32684153236279,-1.6893680865452
MGH2626,tumor_aggressive,-0.429262175692938,-0.415470313017139,0.308513067200411,-0.72398338021755,-0.737775242893349,-0.281668845934968,-0.133801467082171,-0.422366244355039,-0.73087931155545
MGH2675,caf_mycaf,-0.462222590352872,0.906543670083197,-0.716364985578093,1.62290865566129,0.254142395225221,1.54868623087899,-0.642142560795795,0.0669164676710019,0.783281453249095
MGH2675,pancaf_matrix,-0.489138409412476,1.11725883207932,-0.727328564131033,1.84458739621035,0.238190154718557,1.67929945660669,-0.562040624527371,-0.0555704395614602,0.671758124569572
MGH2675,myeloid_macrophage,-0.219496423369567,-0.319192572485293,-0.489884340410683,0.17069176792539,0.270387917041116,0.066517210664193,-0.385709783149486,-0.305215078837175,0.184669261573508
MGH2675,spp1_tam,-0.496015274407303,-0.440251070626469,0.46885378553827,-0.909104856164739,-0.964869059945573,-0.530036185498113,0.0897851148716445,-0.444419997560554,-0.913273783098824
MGH2675,tgfb_emt,-0.228663798014522,0.318396141318596,-0.362870327174332,0.681266468492928,0.134206529159809,0.628344088763625,-0.309947947445029,0.177806623800936,0.540676950975268
MGH2675,ifn_apc,-0.239040667195258,-0.387444331116486,-0.336593806688617,-0.0508505244278694,0.0975531394933584,-0.0651011617560471,-0.322343169360439,-0.346389755057266,-0.00979594836864983
MGH2675,immune_core,0.184947144416714,0.0724793753110414,-0.13903975353416,0.211519128845202,0.323986897950874,0.0772572348819679,-0.00477785957092643,0.0846139186701797,0.22365367220434
MGH2675,t_cell,0.64873803688613,0.152271521239894,-0.254229931830478,0.406501453070372,0.902967968716608,0.210194882938083,-0.0579233616981891,0.199430211305159,0.453660143135637
MGH2675,b_plasma,0.252842003513747,0.326035235182091,-0.0844979799976133,0.410533215179704,0.337339983511361,0.395332320170748,-0.0692970849886575,0.318315287081263,0.402813267078877
MGH2675,tumor_epithelial,-0.67713439008251,-0.644923789861627,0.270977324962152,-0.915901114823779,-0.948111715044662,-0.518929219571516,-0.12599457029011,-0.65993249289758,-0.930909817859732
MGH2675,tumor_aggressive,-0.491877128523381,-0.463709469581367,0.409830556357012,-0.873540025938379,-0.901707684880394,-0.590337972038139,0.126628502456773,-0.479053704174895,-0.888884260531907
MGH2692,caf_mycaf,-0.478668464579879,0.584916971361484,-0.719754098502215,1.3046710698637,0.241085633922336,1.25328524939531,-0.668368278033827,-0.0337886571433108,0.685965441358904
MGH2692,pancaf_matrix,-0.473409917715524,0.342908269080228,-0.697519779945717,1.04042804902595,0.224109862230193,0.893190726870287,-0.550282457790059,0.0188336103147151,0.716353390260432
MGH2692,myeloid_macrophage,0.454573666442517,-0.244678764596994,-0.340216994384386,0.0955382297873923,0.794790660826903,-0.0111465195882541,-0.23353224500874,0.0082996753227088,0.348516669707095
MGH2692,spp1_tam,-0.389347614815004,-0.533512084161759,-0.350354415552029,-0.183157668609729,-0.0389931992629746,-0.173826458279545,-0.359685625882213,-0.469699220790132,-0.119344805238102
MGH2692,tgfb_emt,-0.122332757172006,0.158523770655778,-0.337774086260586,0.496297856916364,0.21544132908858,0.312024294571052,-0.153500523915274,0.0117578499924678,0.349531936253054
MGH2692,ifn_apc,0.381766119720101,-0.126804758651701,-0.250860207391165,0.124055448739464,0.632626327111265,0.0572327023123047,-0.184037460964005,0.0882944632878293,0.339154670678994
MGH2692,immune_core,0.441446538464437,0.0725305129648892,-0.0930480679232277,0.165578580888117,0.534494606387665,0.102612315283029,-0.0300818023181398,0.120819789410398,0.213867857333626
MGH2692,t_cell,1.01059638823735,0.21276071974088,-0.170301221234038,0.383061940974918,1.18089760947139,0.190064134927281,0.0226965848135998,0.471497149442402,0.641798370676439
MGH2692,b_plasma,-0.0775008802935282,-0.0156303102133818,0.652406932208049,-0.66803724242143,-0.729907812501577,-0.290128742813276,0.274498432599895,-0.0502293948828261,-0.702636327090875
MGH2692,tumor_epithelial,-0.641714495945837,-0.522689685430616,0.308752624057985,-0.831442309488601,-0.950467120003822,-0.252010440665864,-0.270679244764752,-0.625712727969142,-0.934465352027127
MGH2692,tumor_aggressive,-0.527785608144489,-0.457574489471382,-0.0929366911430773,-0.364637798328305,-0.434848917001412,-0.109366909841307,-0.348207579630075,-0.51663985978555,-0.423703168642472
MGH2762,caf_mycaf,0.00848301981860867,1.59578810665989,-0.603011207373894,2.19879931403379,0.611494227192502,1.97477335784068,-0.378985251180792,0.443625722683423,1.04663693005732
MGH2762,pancaf_matrix,0.250599295540485,1.81304149315742,-0.635333559930234,2.44837505308765,0.885932855470719,2.16426420941227,-0.351222716254855,0.695197971459261,1.3305315313895
MGH2762,myeloid_macrophage,0.722594926230361,-0.272474867963776,-0.473755721924864,0.201280853961088,1.19635064815523,-0.1150481484785,-0.157426719485276,-0.0158186706920322,0.457937051232832
MGH2762,spp1_tam,0.079579970085127,-0.404333124912036,0.0829213216800327,-0.487254446592069,-0.00334135159490566,-0.485583770794616,0.0812506458825798,-0.254087660770811,-0.337008982450844
