dataset,sample_id,tissue_site,target_program,observed_rho,random_median_rho,delta_vs_random,empirical_p,support,source_file
GSE282302,GSM8641013_C1_D14_ROI3_s1,metadata_required,immune_core,0.102561455037487,0.0112120852597036,0.0913493697777836,0.993006993006993,False,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641013_C1_D14_ROI3_s1,metadata_required,ifn_mhc,0.0789297636918406,0.0151850592930831,0.0637447043987576,0.969030969030969,False,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641013_C1_D14_ROI3_s1,metadata_required,tumor_aggressive,-0.264115392028522,-0.0268387869864504,-0.237276605042072,0.000999000999000999,True,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641013_C1_D14_ROI3_s1,metadata_required,immune_maturity,0.282597603088011,0.0175390337852475,0.265058569302764,1,False,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641014_C1_D1_ROI1_s1,metadata_required,immune_core,-0.341760668452193,-0.00303547243235531,-0.338725196019838,0.000999000999000999,True,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641014_C1_D1_ROI1_s1,metadata_required,ifn_mhc,-0.438979371161726,-0.00819781512466308,-0.430781556037063,0.000999000999000999,True,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641014_C1_D1_ROI1_s1,metadata_required,tumor_aggressive,-0.334627399617464,-0.030604059829396,-0.304023339788068,0.000999000999000999,True,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641014_C1_D1_ROI1_s1,metadata_required,immune_maturity,-0.0939748483821758,-0.00588221543725325,-0.0880926329449226,0.0559440559440559,True,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641015_C1_D2_ROI1_s1,metadata_required,immune_core,-0.415856269457185,-0.00573470744087694,-0.410121562016308,0.000999000999000999,True,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641015_C1_D2_ROI1_s1,metadata_required,ifn_mhc,-0.442007027810838,-0.0108523300213364,-0.431154697789502,0.000999000999000999,True,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641015_C1_D2_ROI1_s1,metadata_required,tumor_aggressive,-0.489904649550572,-0.0212166280988454,-0.468688021451726,0.000999000999000999,True,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641015_C1_D2_ROI1_s1,metadata_required,immune_maturity,-0.470416093888618,-0.00806842144693948,-0.462347672441679,0.000999000999000999,True,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641016_C1_D3_ROI1_s1,metadata_required,immune_core,-0.413155858168623,-0.00344288268043102,-0.409712975488192,0.000999000999000999,True,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641016_C1_D3_ROI1_s1,metadata_required,ifn_mhc,-0.508996336747215,-0.00585294308054241,-0.503143393666673,0.000999000999000999,True,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641016_C1_D3_ROI1_s1,metadata_required,tumor_aggressive,0.0657251119378058,-0.00977419519686716,0.0754993071346729,0.888111888111888,False,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641016_C1_D3_ROI1_s1,metadata_required,immune_maturity,-0.295681814800724,-0.00942003389218841,-0.286261780908536,0.000999000999000999,True,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641017_C1_D4_ROI1_s1,metadata_required,immune_core,-0.314811008521195,0.00411890190343216,-0.318929910424628,0.000999000999000999,True,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641017_C1_D4_ROI1_s1,metadata_required,ifn_mhc,-0.381117224174986,-0.0048850100695176,-0.376232214105468,0.000999000999000999,True,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641017_C1_D4_ROI1_s1,metadata_required,tumor_aggressive,-0.167887429456861,-0.0193763116602284,-0.148511117796632,0.002997002997003,True,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641017_C1_D4_ROI1_s1,metadata_required,immune_maturity,-0.240754481536951,-0.00541444005661393,-0.235340041480337,0.000999000999000999,True,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641018_C1_D5_ROI1_s1,metadata_required,immune_core,-0.241529069424274,0.011107919143572,-0.252636988567846,0.000999000999000999,True,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641018_C1_D5_ROI1_s1,metadata_required,ifn_mhc,-0.304248340290017,0.00632482035850873,-0.310573160648526,0.000999000999000999,True,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641018_C1_D5_ROI1_s1,metadata_required,tumor_aggressive,-0.507158855737605,-0.0047578304944116,-0.502401025243194,0.000999000999000999,True,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641018_C1_D5_ROI1_s1,metadata_required,immune_maturity,-0.163045650706499,8.39352976445341e-05,-0.163129586004144,0.000999000999000999,True,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641019_C1_D6_ROI1_s1,metadata_required,immune_core,-0.356539610421305,0.00368904826378146,-0.360228658685086,0.000999000999000999,True,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641019_C1_D6_ROI1_s1,metadata_required,ifn_mhc,-0.51647087532388,-0.00259889762021596,-0.513871977703664,0.000999000999000999,True,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641019_C1_D6_ROI1_s1,metadata_required,tumor_aggressive,-0.519244658083617,-0.00195769725886224,-0.517286960824755,0.000999000999000999,True,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641019_C1_D6_ROI1_s1,metadata_required,immune_maturity,-0.292967149596876,0.00220082078494182,-0.295167970381818,0.000999000999000999,True,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641020_C1_D7_ROI1_s1,metadata_required,immune_core,0.257800441713831,0.0122092090482866,0.245591232665544,1,False,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641020_C1_D7_ROI1_s1,metadata_required,ifn_mhc,0.185819535540888,0.00884586997949055,0.176973665561398,1,False,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641020_C1_D7_ROI1_s1,metadata_required,tumor_aggressive,-0.548118047087115,-0.0241311070341834,-0.523986940052931,0.000999000999000999,True,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641020_C1_D7_ROI1_s1,metadata_required,immune_maturity,0.465424891182186,0.0195277920173917,0.445897099164794,1,False,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641021_C1_D8_ROI1_s1,metadata_required,immune_core,0.350491254133225,0.00302690626522441,0.347464347868001,1,False,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641021_C1_D8_ROI1_s1,metadata_required,ifn_mhc,-0.184143663405257,-0.00133449378279565,-0.182809169622462,0.000999000999000999,True,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641021_C1_D8_ROI1_s1,metadata_required,tumor_aggressive,-0.721333537624876,-0.0098372241891428,-0.711496313435734,0.000999000999000999,True,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641021_C1_D8_ROI1_s1,metadata_required,immune_maturity,-0.359524741386285,-0.00679382771253204,-0.352730913673753,0.000999000999000999,True,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641022_C1_D8_ROI3_s1,metadata_required,immune_core,-0.586641296161268,-0.00517655394373401,-0.581464742217534,0.000999000999000999,True,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641022_C1_D8_ROI3_s1,metadata_required,ifn_mhc,-0.657282111978362,-0.00917259282188154,-0.648109519156481,0.000999000999000999,True,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641022_C1_D8_ROI3_s1,metadata_required,tumor_aggressive,-0.642934616990097,-0.0108878522182736,-0.632046764771823,0.000999000999000999,True,mvp_random_core_permutation_sample_stats.csv
