dataset,sample_id,patient_id,tissue_site,target_program,null_type,n_spots,n_core_spots,n_perm,observed_rho,null_median,null_p05,null_p95,delta,empirical_p,support
GSE274557,GSM8452860_Pt-5A,5A,primary_tumor,TGF-beta/EMT,spatially_contiguous_random_core,2931,294,1000,-0.5029327499422349,0.15147004126009755,-0.4098768801363501,0.4918100702782989,-0.6544027912023325,0.000999000999000999,True
GSE274557,GSM8452860_Pt-5A,5A,primary_tumor,tumor epithelial,spatially_contiguous_random_core,2931,294,1000,0.37916345648270566,-0.0537804909274428,-0.21641845498986673,0.18605702965387239,0.43294394741014847,1.0,False
GSE274557,GSM8452860_Pt-5A,5A,primary_tumor,myCAF/matrix,spatially_contiguous_random_core,2931,294,1000,-0.5826074777582131,-0.016792495280546074,-0.2681212760014124,0.2536803317739885,-0.565814982477667,0.000999000999000999,True
GSE274557,GSM8452861_Pt-5B,5B,liver_metastasis,IFN/MHC,spatially_contiguous_random_core,2772,278,1000,0.47120869036763163,-0.05735368315853063,-0.633319435118048,0.5338630019572368,0.5285623735261623,0.8921078921078921,False
GSE274557,GSM8452861_Pt-5B,5B,liver_metastasis,immune-core,spatially_contiguous_random_core,2772,278,1000,0.3460191256227195,-0.028753299986169087,-0.5271205151865248,0.476234072101043,0.3747724256088886,0.8131868131868132,False
GSE274557,GSM8452861_Pt-5B,5B,liver_metastasis,tumor-aggressive,spatially_contiguous_random_core,2772,278,1000,0.32508092562316265,-0.07833223753054303,-0.6142795883104145,0.49347950332702284,0.4034131631537057,0.8101898101898102,False
GSE274557,GSM8452861_Pt-5B,5B,liver_metastasis,SPP1/TAM,spatially_contiguous_random_core,2772,278,1000,-0.6818029737802712,-0.06647685471557749,-0.6027063833297811,0.548904041489988,-0.6153261190646937,0.000999000999000999,True
GSE274557,GSM8452861_Pt-5B,5B,liver_metastasis,TGF-beta/EMT,spatially_contiguous_random_core,2772,278,1000,-0.6408095266870445,-0.05522388634149399,-0.5029090215841717,0.4786231882167142,-0.5855856403455505,0.000999000999000999,True
GSE274557,GSM8452861_Pt-5B,5B,liver_metastasis,tumor epithelial,spatially_contiguous_random_core,2772,278,1000,0.6152341801775648,-0.034077441363173346,-0.7285207585215804,0.6887104009107562,0.6493116215407382,0.906093906093906,False
GSE274557,GSM8452861_Pt-5B,5B,liver_metastasis,myCAF/matrix,spatially_contiguous_random_core,2772,278,1000,-0.6986010981124435,-0.03981365173559988,-0.48677187681585865,0.4863240335781413,-0.6587874463768436,0.000999000999000999,True
GSE274557,GSM8452862_Pt-5C,5C,liver_metastasis,IFN/MHC,spatially_contiguous_random_core,2397,240,1000,-0.4289267806596666,0.05164203824272772,-0.5026797565202449,0.5303665478800353,-0.48056881890239433,0.11388611388611389,True
GSE274557,GSM8452862_Pt-5C,5C,liver_metastasis,immune-core,spatially_contiguous_random_core,2397,240,1000,-0.5005541458484102,0.01122588112695802,-0.4914565258396934,0.5569293926225936,-0.5117800269753682,0.04495504495504495,True
GSE274557,GSM8452862_Pt-5C,5C,liver_metastasis,tumor-aggressive,spatially_contiguous_random_core,2397,240,1000,-0.33854664244273147,-0.12369857412522103,-0.3526382879322314,0.19458958356453335,-0.21484806831751044,0.08791208791208792,True
GSE274557,GSM8452862_Pt-5C,5C,liver_metastasis,SPP1/TAM,spatially_contiguous_random_core,2397,240,1000,-0.5450489667251559,0.10106080733949056,-0.12393794606044345,0.38107967398082776,-0.6461097740646464,0.000999000999000999,True
GSE274557,GSM8452862_Pt-5C,5C,liver_metastasis,TGF-beta/EMT,spatially_contiguous_random_core,2397,240,1000,-0.6071510784257755,0.030389391224781088,-0.2729982604163273,0.3738609980142778,-0.6375404696505567,0.000999000999000999,True
GSE274557,GSM8452862_Pt-5C,5C,liver_metastasis,tumor epithelial,spatially_contiguous_random_core,2397,240,1000,-0.11609943432707695,-0.012312331332580794,-0.32198605468574576,0.18784115409472998,-0.10378710299449616,0.3356643356643357,True
GSE274557,GSM8452862_Pt-5C,5C,liver_metastasis,myCAF/matrix,spatially_contiguous_random_core,2397,240,1000,-0.599103949887749,0.008366553440726572,-0.2060485484949895,0.26298152855873097,-0.6074705033284755,0.000999000999000999,True
GSE274557,GSM8452863_Pt-6A,6A,primary_tumor,IFN/MHC,spatially_contiguous_random_core,1758,176,1000,-0.2851856943514236,0.039195696739123514,-0.20162169777118816,0.20808616445077419,-0.3243813910905471,0.000999000999000999,True
GSE274557,GSM8452863_Pt-6A,6A,primary_tumor,immune-core,spatially_contiguous_random_core,1758,176,1000,-0.2975309733480515,0.021587645122930748,-0.21220670095605332,0.21156357378473917,-0.3191186184709823,0.000999000999000999,True
GSE274557,GSM8452863_Pt-6A,6A,primary_tumor,tumor-aggressive,spatially_contiguous_random_core,1758,176,1000,-0.0927507807890487,0.07792287544062075,-0.22981599530991423,0.25312474266537716,-0.17067365622966946,0.3016983016983017,True
GSE274557,GSM8452863_Pt-6A,6A,primary_tumor,SPP1/TAM,spatially_contiguous_random_core,1758,176,1000,-0.2417467612698712,-0.02429159762599465,-0.15641745392398987,0.09694688019439912,-0.21745516364387657,0.000999000999000999,True
GSE274557,GSM8452863_Pt-6A,6A,primary_tumor,TGF-beta/EMT,spatially_contiguous_random_core,1758,176,1000,-0.14050604814561565,0.08469157727712714,-0.3840013449000461,0.3896989433967643,-0.2251976254227428,0.3436563436563437,True
GSE274557,GSM8452863_Pt-6A,6A,primary_tumor,tumor epithelial,spatially_contiguous_random_core,1758,176,1000,-0.19766902435710318,0.0024037451984764593,-0.22853349301513215,0.24732627122505033,-0.20007276955557965,0.17282717282717283,True
GSE274557,GSM8452863_Pt-6A,6A,primary_tumor,myCAF/matrix,spatially_contiguous_random_core,1758,176,1000,-0.520907333071828,0.1445499634956389,-0.1342572865376545,0.30289860597843266,-0.6654572965674669,0.000999000999000999,True
GSE274557,GSM8452864_Pt-6B,6B,liver_metastasis,IFN/MHC,spatially_contiguous_random_core,2686,269,1000,-0.3417239796338071,-0.06750758173443573,-0.25065377160448626,0.18301226330849954,-0.27421639789937136,0.000999000999000999,True
GSE274557,GSM8452864_Pt-6B,6B,liver_metastasis,immune-core,spatially_contiguous_random_core,2686,269,1000,-0.3369263799571571,-0.058018072124068676,-0.3070469138873648,0.26716734232317607,-0.2789083078330884,0.015984015984015984,True
GSE274557,GSM8452864_Pt-6B,6B,liver_metastasis,tumor-aggressive,spatially_contiguous_random_core,2686,269,1000,-0.4418897008384968,-0.0935956557067662,-0.2115802467067905,0.1431488272881255,-0.3482940451317306,0.000999000999000999,True
