dataset,tissue_site,target_program,null_type,n_samples,median_observed_rho,median_null,median_delta,support_n,support_fraction,median_empirical_p,context_label,panel,anchor_type,core_module,target_module,sensitivity_mode,target_removed_status,shared_genes_n,target_genes_n,remaining_target_genes_n,jaccard_index,percent_target_shared_with_core,median_overlap_sensitive_delta,shared_gene_symbols,dataset_id,sample_id,specimen_type,delta_vs_null_median__IFN_MHC,delta_vs_null_median__immune_core,delta_vs_null_median__tumor_aggressive,empirical_p_more_negative__IFN_MHC,empirical_p_more_negative__immune_core,empirical_p_more_negative__tumor_aggressive,null_median_rho__IFN_MHC,null_median_rho__immune_core,null_median_rho__tumor_aggressive,observed_rho__IFN_MHC,observed_rho__immune_core,observed_rho__tumor_aggressive,stromal_tumor_core_coupling,immune_core_coupling,immune_decoupling_index,core_enrichment__IFN/MHC,core_enrichment__immune core,core_enrichment__tumor aggressive,dominant_nmf_ecotype,dominant_nmf_ecotype_label,analysis,left_out_sample,n_samples_included,IFN_MHC_median_delta,immune_core_median_delta,tumor_aggressive_median_delta,IFN_MHC_support_n,immune_core_support_n,tumor_aggressive_support_n,rank,n_runs,n_features,reconstruction_error_mean,reconstruction_error_sd,reconstruction_error_best,relative_error_mean,explained_fraction_mean,explained_fraction_best,ari_mean,ari_sd,component_cosine_to_best_mean,component_cosine_to_best_sd,n_converged_runs,n_not_converged_runs,min_dominant_component_n_best,max_dominant_component_n_best,consensus_pac_0.1_0.9,consensus_cophenetic,delta_explained_from_previous_rank,delta_best_explained_from_previous_rank,init,seed,reconstruction_error,relative_error,explained_fraction,n_iter,converged,min_dominant_component_n,max_dominant_component_n,component_labels
GSE274557,liver_metastasis,tumor-aggressive,spatially_contiguous_random_core,16.0,-0.2909660268986294,-0.0977197179601871,-0.1666814965954911,10.0,0.625,0.1533466533466533,"GSE274557
liver met",A_contiguous_null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE274557,lung_metastasis,IFN/MHC,spatially_contiguous_random_core,6.0,-0.4004274906036353,-0.0291372496416869,-0.399416940908028,5.0,0.8333333333333334,0.0009990009990009,"GSE274557
lung met",A_contiguous_null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE274557,lung_metastasis,SPP1/TAM,spatially_contiguous_random_core,6.0,-0.4308655413749361,-0.0551766444517423,-0.3756888969231938,6.0,1.0,0.0009990009990009,"GSE274557
lung met",A_contiguous_null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE274557,lung_metastasis,TGF-beta/EMT,spatially_contiguous_random_core,6.0,-0.3553827033562678,-0.0548562415986713,-0.3005264617575964,6.0,1.0,0.0009990009990009,"GSE274557
lung met",A_contiguous_null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE274557,lung_metastasis,immune-core,spatially_contiguous_random_core,6.0,-0.3853254365212705,-0.005298286943018,-0.3912261526326765,6.0,1.0,0.0029970029970029,"GSE274557
lung met",A_contiguous_null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE274557,lung_metastasis,tumor-aggressive,spatially_contiguous_random_core,6.0,-0.050021426514458,-0.050177520943201,-0.0172076566653285,4.0,0.6666666666666666,0.4775224775224775,"GSE274557
lung met",A_contiguous_null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE274557,peritoneal_metastasis,IFN/MHC,spatially_contiguous_random_core,14.0,-0.2467434896954573,-0.0283227763967607,-0.2208618094818899,14.0,1.0,0.0009990009990009,"GSE274557
peritoneal",A_contiguous_null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE274557,peritoneal_metastasis,SPP1/TAM,spatially_contiguous_random_core,14.0,-0.3634032388442633,-0.0368410513646255,-0.3493110973983434,14.0,1.0,0.0009990009990009,"GSE274557
peritoneal",A_contiguous_null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE274557,peritoneal_metastasis,TGF-beta/EMT,spatially_contiguous_random_core,14.0,-0.337123424443765,-0.0347499739125429,-0.3459550064516808,13.0,0.9285714285714286,0.0009990009990009,"GSE274557
peritoneal",A_contiguous_null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE274557,peritoneal_metastasis,immune-core,spatially_contiguous_random_core,14.0,-0.2808813536833893,-0.0157929033960318,-0.2769810027931229,14.0,1.0,0.0009990009990009,"GSE274557
peritoneal",A_contiguous_null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
