title,geo_accession,tissue,treatment,tissue.type,dcc_id,sample_id,roi_id,patient_id,aoi_type,caf_mycaf,pancaf_matrix,myeloid_macrophage,spp1_tam,tgfb_emt,ifn_apc,immune_core,t_cell,b_plasma,tumor_aggressive,tumor_epithelial
"10.2,tumor [DSP-1001660005320-D-C02]",GSM7680989,Pancreatic Ductal Adenocarcinoma,Naïve,tumor,DSP-1001660005320-D-C02.dcc,10.2,10.2,10,tumor,-0.773192385524808,-0.795685766090221,-0.239225395968656,0.365851813470908,-0.0718420281011466,-0.410264391425586,-0.543685204709281,-0.72660696680946,,0.484470998384207,0.430103785898223
"10.2,stroma [DSP-1001660005320-D-C03]",GSM7680990,Pancreatic Ductal Adenocarcinoma,Naïve,stroma,DSP-1001660005320-D-C03.dcc,10.2,10.2,10,stroma,0.485233314653284,0.0571837696827003,-0.108474181713173,-0.122625570443218,-0.307065627283861,-0.159258554492382,0.455889209602449,0.317246158975269,,0.039763822855984,-0.560471753987372
"73.1,tumor [DSP-1001660005320-D-C04]",GSM7680991,Pancreatic Ductal Adenocarcinoma,Naïve,tumor,DSP-1001660005320-D-C04.dcc,73.1,73.1,73,tumor,-0.798690454968306,-0.695559198359146,-0.628387865067067,0.0457846103963276,-0.11785913495249,-0.305267011328151,-0.650948553002033,-0.638967597228274,,-0.16327215908146,1.0185659346367
"73.1,stroma [DSP-1001660005320-D-C05]",GSM7680992,Pancreatic Ductal Adenocarcinoma,Naïve,stroma,DSP-1001660005320-D-C05.dcc,73.1,73.1,73,stroma,0.332751451786065,0.331973044279792,0.130429810205541,-0.262256951914307,0.67570689948083,0.0236468281248511,-0.196995791244835,0.525851921322939,,-0.591406375648148,-0.645193705941753
"73.2,tumor [DSP-1001660005320-D-C06]",GSM7680993,Pancreatic Ductal Adenocarcinoma,Naïve,tumor,DSP-1001660005320-D-C06.dcc,73.2,73.2,73,tumor,-0.643271229050247,-0.700333040577807,-0.308597238192804,0.052079968205326,0.0955670888523465,-0.485344983402527,-0.681789794097917,-0.488440444678329,,0.397504717452992,1.03741943403707
"73.2,stroma [DSP-1001660005320-D-C07]",GSM7680994,Pancreatic Ductal Adenocarcinoma,Naïve,stroma,DSP-1001660005320-D-C07.dcc,73.2,73.2,73,stroma,1.3284034619767,1.60497465074243,0.89255669945367,-0.161717315593453,0.346147417366512,0.261333894797803,0.126769316388905,-0.216665585724123,,-0.54987079452872,-0.748187016204064
"84.1,tumor [DSP-1001660005320-D-C08]",GSM7680995,Pancreatic Ductal Adenocarcinoma,Naïve,tumor,DSP-1001660005320-D-C08.dcc,84.1,84.1,84,tumor,-0.300379824148674,-0.400564203663861,-0.591583730587845,-0.129748631080091,-0.137309347596259,0.317608796440383,0.322014116216545,-0.79081314531866,,0.792785046911347,0.683543717045323
"84.1,stroma [DSP-1001660005320-D-C09]",GSM7680996,Pancreatic Ductal Adenocarcinoma,Naïve,stroma,DSP-1001660005320-D-C09.dcc,84.1,84.1,84,stroma,1.83809206957379,1.54707639725992,0.357433332065383,-0.0210754243141636,0.686927256840498,-0.0215345161512476,-0.170500524456493,-0.180403727619702,,-0.234508048123487,-0.572842295303422
"84.2,tumor [DSP-1001660005320-D-C10]",GSM7680997,Pancreatic Ductal Adenocarcinoma,Naïve,tumor,DSP-1001660005320-D-C10.dcc,84.2,84.2,84,tumor,0.0953431749296528,-0.27267755927299,-0.572932480253663,-0.389807192020212,0.492336645406759,0.376467980330731,0.280120044994679,-0.883776400315349,,0.641774245587783,0.810312883261412
"84.2,stroma [DSP-1001660005320-D-C11]",GSM7680998,Pancreatic Ductal Adenocarcinoma,Naïve,stroma,DSP-1001660005320-D-C11.dcc,84.2,84.2,84,stroma,2.98828758382053,2.73247350570829,-0.0190253496568437,-0.241864428865883,1.22636753709915,-0.312978197786597,-0.454293172199081,-0.321840398037362,,-0.462681713206764,-0.720851785015535
"84.3,tumor [DSP-1001660005320-D-C12]",GSM7680999,Pancreatic Ductal Adenocarcinoma,Naïve,tumor,DSP-1001660005320-D-C12.dcc,84.3,84.3,84,tumor,-0.336948434319256,-0.402014942551336,-0.581143108319649,-0.0829828048802877,0.0252775664914986,0.235958522031891,0.322014353348232,-0.91581375018573,,0.787441629324352,0.700142301308874
"84.3,stroma [DSP-1001660005320-D-D01]",GSM7681000,Pancreatic Ductal Adenocarcinoma,Naïve,stroma,DSP-1001660005320-D-D01.dcc,84.3,84.3,84,stroma,1.98661845894283,1.48328382988956,-0.172461097301991,-0.371047928181998,0.481314224246099,-0.199336157502024,-0.172594612474688,-0.26627844197288,,-0.0276693548479648,-0.50366874970754
"53.1,tumor [DSP-1001660005320-D-D02]",GSM7681001,Pancreatic Ductal Adenocarcinoma,Treated,tumor,DSP-1001660005320-D-D02.dcc,53.1,53.1,53,tumor,-0.6825896065101,-0.523863965483894,-0.121171192125269,0.321885722253451,-0.395657145677241,-0.025127690688206,0.657259686035906,0.20787196984275,,-0.181283232252724,-0.148031897062004
"53.1,stroma [DSP-1001660005320-D-D03]",GSM7681002,Pancreatic Ductal Adenocarcinoma,Treated,stroma,DSP-1001660005320-D-D03.dcc,53.1,53.1,53,stroma,0.841878833544834,0.417010864885808,0.849469460552857,-0.136131315202246,-0.111365656595948,-0.308864162065429,0.265871116030038,0.605921141949648,,-0.185681035426445,-0.767507228947382
"53.2,tumor [DSP-1001660005320-D-D04]",GSM7681003,Pancreatic Ductal Adenocarcinoma,Treated,tumor,DSP-1001660005320-D-D04.dcc,53.2,53.2,53,tumor,-0.715227698525107,-0.589336373989963,-0.0921270655659739,0.276878581929199,-0.480635355747784,0.351417218597464,0.696193273769577,-0.0943162317319648,,-0.229689212945319,-0.265411029945138
"53.2,stroma [DSP-1001660005320-D-D05]",GSM7681004,Pancreatic Ductal Adenocarcinoma,Treated,stroma,DSP-1001660005320-D-D05.dcc,53.2,53.2,53,stroma,-0.129097652325366,-0.0500515763638934,0.205594570486603,0.478059650658648,-0.283268007578792,-0.227001602801886,0.425782500366841,0.326103204720352,,-0.330122898382648,-0.683034080111257
"53.3,tumor [DSP-1001660005320-D-D06]",GSM7681005,Pancreatic Ductal Adenocarcinoma,Treated,tumor,DSP-1001660005320-D-D06.dcc,53.3,53.3,53,tumor,-0.0665928388380003,0.020082102856188,-0.373889402800523,0.10683883516935,-0.365708621471719,-0.240314809068553,0.126962548467021,-0.158789482822751,,-0.00328057705935318,-0.353106408984072
"53.3,stroma [DSP-1001660005320-D-D07]",GSM7681006,Pancreatic Ductal Adenocarcinoma,Treated,stroma,DSP-1001660005320-D-D07.dcc,53.3,53.3,53,stroma,1.34384303796514,0.87742718514444,0.910113129636939,-0.158664267429949,0.0214944756378619,-0.0156654187901373,0.53627731718808,0.361494375245199,,-0.412883933440999,-0.886876329523559
"79.1,tumor [DSP-1001660005320-D-D08]",GSM7681007,Pancreatic Ductal Adenocarcinoma,Naïve,tumor,DSP-1001660005320-D-D08.dcc,79.1,79.1,79,tumor,-0.653165704340879,-0.592576812642061,-0.932579875228462,0.37727025654208,-0.720586870011829,-0.37566044480555,-0.452948371927303,-0.0978827519776069,,1.57961509303899,0.676349789567276
"79.1,stroma [DSP-1001660005320-D-D09]",GSM7681008,Pancreatic Ductal Adenocarcinoma,Naïve,stroma,DSP-1001660005320-D-D09.dcc,79.1,79.1,79,stroma,0.668395780072469,0.771081032715222,1.04930556445619,0.321117977553406,-0.160072763192542,0.571381349248152,0.954877752318491,0.824199144593257,,-0.11003060743799,-0.64418169517973
